text,category
Frequent voltage fluctuations damaging appliances,Utilities
Road safety barriers fallen creating severe hazard,Infrastructure
Electricity transformer making sparking noise,Utilities
Road divider badly damaged at multiple places,Infrastructure
Sanitation workers not cleaning streets properly,Sanitation
Waste dumping happening near residential area,Sanitation
Burglary attempt last night very scared now,Safety
Sexual harassment in public transport daily,Safety
Public toilet extremely dirty and smelly condition,Sanitation
Water pressure very low cannot use properly,Utilities
TB patient not getting free medicines anymore,Health
No doctor available in primary health center,Health
Mob violence during political rally very unsafe,Safety
Road surface caved in after recent heavy rain,Infrastructure
Speed breakers too high damaging all vehicles,Infrastructure
Hit and run accident person critically injured,Safety
Electricity meter reading wrong showing high bill,Utilities
Electric pole tilted dangerous can fall anytime,Utilities
Garbage vehicle always skips our street area,Sanitation
Big pothole on main road causing accidents daily,Infrastructure
Marriage certificate not issued even after fees paid,Administrative
Current fluctuation burning our electronic devices,Utilities
Dangerous stray dogs attacking people daily,Safety
Broken footpath very dangerous for elderly people,Infrastructure
Caste certificate verification taking many months,Administrative
Road full of dangerous potholes causing accidents,Infrastructure
Public park main gate broken not closing properly,Infrastructure
Unsafe area no police patrolling at night time,Safety
Public urination wall needs urgent cleaning,Sanitation
Malaria risk mosquito breeding near stagnant water,Health
Garbage segregation not happening at all,Sanitation
Road lane marking completely faded very dangerous,Infrastructure
Drainage system completely choked and blocked,Sanitation
Illegal waste dumping in empty plot daily,Sanitation
Murder threat received need urgent police protection,Safety
Water connection applied but no response months,Utilities
Plastic waste scattered everywhere near school,Sanitation
Pavement stones loose everywhere causing tripping,Infrastructure
Income certificate application rejected without reason,Administrative
Septic tank overflow in community area smells,Sanitation
Pedestrian crossing marking completely faded invisible,Infrastructure
Bicycle lane obstructed by illegally parked vehicles,Infrastructure
No water supply for entire area,Utilities
Dead animal carcass not removed for many days,Sanitation
Office timing very inconvenient for working people,Administrative
Land record correction not updated for many years,Administrative
Bridge damaged badly needs urgent repair work,Infrastructure
Expired medicines being given at government clinic,Health
Long waiting time many hours to see doctor,Health
Disabled accessibility issues in hospital building,Health
Extortion threat demanding money or violence,Safety
Child safety concern suspicious person near school,Safety
Ration card application pending for very long time,Administrative
Flyover expansion joint damaged making loud noise,Infrastructure
Power backup generator not working during outages,Utilities
Physical assault happened near park area,Safety
Blood bank shortage urgent need blood donation,Health
Drinking water tanker not coming on schedule,Utilities
Medicine out of stock in government hospital,Health
Epidemic outbreak fever cases rising need help,Health
